Category	Field	Description
SOCIAL	SOCIAL-HC01_VC03	Estimate; HOUSEHOLDS BY TYPE - Total households
SOCIAL	SOCIAL-HC02_VC03	Margin of Error; HOUSEHOLDS BY TYPE - Total households
SOCIAL	SOCIAL-HC03_VC03	Percent; HOUSEHOLDS BY TYPE - Total households
SOCIAL	SOCIAL-HC01_VC04	Estimate; HOUSEHOLDS BY TYPE - Family households (families)
SOCIAL	SOCIAL-HC02_VC04	Margin of Error; HOUSEHOLDS BY TYPE - Family households (families)
SOCIAL	SOCIAL-HC03_VC04	Percent; HOUSEHOLDS BY TYPE - Family households (families)
SOCIAL	SOCIAL-HC04_VC04	Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families)
SOCIAL	SOCIAL-HC01_VC06	Estimate; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
SOCIAL	SOCIAL-HC02_VC06	Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
SOCIAL	SOCIAL-HC03_VC06	Percent; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
SOCIAL	SOCIAL-HC04_VC06	Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - With own children under 18 years
SOCIAL	SOCIAL-HC01_VC07	Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
SOCIAL	SOCIAL-HC02_VC07	Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
SOCIAL	SOCIAL-HC03_VC07	Percent; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
SOCIAL	SOCIAL-HC04_VC07	Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family
SOCIAL	SOCIAL-HC01_VC08	Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
SOCIAL	SOCIAL-HC02_VC08	Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
SOCIAL	SOCIAL-HC03_VC08	Percent; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
SOCIAL	SOCIAL-HC04_VC08	Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Married-couple family - With own children under 18 years
SOCIAL	SOCIAL-HC01_VC09	"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
SOCIAL	SOCIAL-HC02_VC09	"Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
SOCIAL	SOCIAL-HC03_VC09	"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
SOCIAL	SOCIAL-HC04_VC09	"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family"
SOCIAL	SOCIAL-HC01_VC10	"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
SOCIAL	SOCIAL-HC02_VC10	"Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
SOCIAL	SOCIAL-HC03_VC10	"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
SOCIAL	SOCIAL-HC04_VC10	"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Male householder, no wife present, family - With own children under 18 years"
SOCIAL	SOCIAL-HC01_VC11	"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
SOCIAL	SOCIAL-HC02_VC11	"Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
SOCIAL	SOCIAL-HC03_VC11	"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
SOCIAL	SOCIAL-HC04_VC11	"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family"
SOCIAL	SOCIAL-HC01_VC12	"Estimate; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
SOCIAL	SOCIAL-HC02_VC12	"Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
SOCIAL	SOCIAL-HC03_VC12	"Percent; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
SOCIAL	SOCIAL-HC04_VC12	"Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families) - Female householder, no husband present, family - With own children under 18 years"
SOCIAL	SOCIAL-HC01_VC13	Estimate; HOUSEHOLDS BY TYPE - Nonfamily households
SOCIAL	SOCIAL-HC02_VC13	Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households
SOCIAL	SOCIAL-HC03_VC13	Percent; HOUSEHOLDS BY TYPE - Nonfamily households
SOCIAL	SOCIAL-HC04_VC13	Percent Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households
SOCIAL	SOCIAL-HC01_VC14	Estimate; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
SOCIAL	SOCIAL-HC02_VC14	Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
SOCIAL	SOCIAL-HC03_VC14	Percent; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
SOCIAL	SOCIAL-HC04_VC14	Percent Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone
SOCIAL	SOCIAL-HC01_VC15	Estimate; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone - 65 years and over
SOCIAL	SOCIAL-HC02_VC15	Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone - 65 years and over
SOCIAL	SOCIAL-HC03_VC15	Percent; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone - 65 years and over
SOCIAL	SOCIAL-HC04_VC15	Percent Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households - Householder living alone - 65 years and over
SOCIAL	SOCIAL-HC01_VC17	Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
SOCIAL	SOCIAL-HC02_VC17	Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
SOCIAL	SOCIAL-HC03_VC17	Percent; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
SOCIAL	SOCIAL-HC04_VC17	Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
SOCIAL	SOCIAL-HC01_VC18	Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
SOCIAL	SOCIAL-HC02_VC18	Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
SOCIAL	SOCIAL-HC03_VC18	Percent; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
SOCIAL	SOCIAL-HC04_VC18	Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
SOCIAL	SOCIAL-HC01_VC20	Estimate; HOUSEHOLDS BY TYPE - Average household size
SOCIAL	SOCIAL-HC02_VC20	Margin of Error; HOUSEHOLDS BY TYPE - Average household size
SOCIAL	SOCIAL-HC01_VC21	Estimate; HOUSEHOLDS BY TYPE - Average family size
SOCIAL	SOCIAL-HC02_VC21	Margin of Error; HOUSEHOLDS BY TYPE - Average family size
SOCIAL	SOCIAL-HC01_VC25	Estimate; RELATIONSHIP - Population in households
SOCIAL	SOCIAL-HC03_VC25	Percent; RELATIONSHIP - Population in households
SOCIAL	SOCIAL-HC01_VC26	Estimate; RELATIONSHIP - Householder
SOCIAL	SOCIAL-HC02_VC26	Margin of Error; RELATIONSHIP - Householder
SOCIAL	SOCIAL-HC03_VC26	Percent; RELATIONSHIP - Householder
SOCIAL	SOCIAL-HC04_VC26	Percent Margin of Error; RELATIONSHIP - Householder
SOCIAL	SOCIAL-HC01_VC27	Estimate; RELATIONSHIP - Spouse
SOCIAL	SOCIAL-HC02_VC27	Margin of Error; RELATIONSHIP - Spouse
SOCIAL	SOCIAL-HC03_VC27	Percent; RELATIONSHIP - Spouse
SOCIAL	SOCIAL-HC04_VC27	Percent Margin of Error; RELATIONSHIP - Spouse
SOCIAL	SOCIAL-HC01_VC28	Estimate; RELATIONSHIP - Child
SOCIAL	SOCIAL-HC02_VC28	Margin of Error; RELATIONSHIP - Child
SOCIAL	SOCIAL-HC03_VC28	Percent; RELATIONSHIP - Child
SOCIAL	SOCIAL-HC04_VC28	Percent Margin of Error; RELATIONSHIP - Child
SOCIAL	SOCIAL-HC01_VC29	Estimate; RELATIONSHIP - Other relatives
SOCIAL	SOCIAL-HC02_VC29	Margin of Error; RELATIONSHIP - Other relatives
SOCIAL	SOCIAL-HC03_VC29	Percent; RELATIONSHIP - Other relatives
SOCIAL	SOCIAL-HC04_VC29	Percent Margin of Error; RELATIONSHIP - Other relatives
SOCIAL	SOCIAL-HC01_VC30	Estimate; RELATIONSHIP - Nonrelatives
SOCIAL	SOCIAL-HC02_VC30	Margin of Error; RELATIONSHIP - Nonrelatives
SOCIAL	SOCIAL-HC03_VC30	Percent; RELATIONSHIP - Nonrelatives
SOCIAL	SOCIAL-HC04_VC30	Percent Margin of Error; RELATIONSHIP - Nonrelatives
SOCIAL	SOCIAL-HC01_VC31	Estimate; RELATIONSHIP - Nonrelatives - Unmarried partner
SOCIAL	SOCIAL-HC02_VC31	Margin of Error; RELATIONSHIP - Nonrelatives - Unmarried partner
SOCIAL	SOCIAL-HC03_VC31	Percent; RELATIONSHIP - Nonrelatives - Unmarried partner
SOCIAL	SOCIAL-HC04_VC31	Percent Margin of Error; RELATIONSHIP - Nonrelatives - Unmarried partner
SOCIAL	SOCIAL-HC01_VC35	Estimate; MARITAL STATUS - Males 15 years and over
SOCIAL	SOCIAL-HC02_VC35	Margin of Error; MARITAL STATUS - Males 15 years and over
SOCIAL	SOCIAL-HC03_VC35	Percent; MARITAL STATUS - Males 15 years and over
SOCIAL	SOCIAL-HC01_VC36	Estimate; MARITAL STATUS - Never married
SOCIAL	SOCIAL-HC02_VC36	Margin of Error; MARITAL STATUS - Never married
SOCIAL	SOCIAL-HC03_VC36	Percent; MARITAL STATUS - Never married
SOCIAL	SOCIAL-HC04_VC36	Percent Margin of Error; MARITAL STATUS - Never married
SOCIAL	SOCIAL-HC01_VC37	"Estimate; MARITAL STATUS - Now married, except separated"
SOCIAL	SOCIAL-HC02_VC37	"Margin of Error; MARITAL STATUS - Now married, except separated"
SOCIAL	SOCIAL-HC03_VC37	"Percent; MARITAL STATUS - Now married, except separated"
SOCIAL	SOCIAL-HC04_VC37	"Percent Margin of Error; MARITAL STATUS - Now married, except separated"
SOCIAL	SOCIAL-HC01_VC38	Estimate; MARITAL STATUS - Separated
SOCIAL	SOCIAL-HC02_VC38	Margin of Error; MARITAL STATUS - Separated
SOCIAL	SOCIAL-HC03_VC38	Percent; MARITAL STATUS - Separated
SOCIAL	SOCIAL-HC04_VC38	Percent Margin of Error; MARITAL STATUS - Separated
SOCIAL	SOCIAL-HC01_VC39	Estimate; MARITAL STATUS - Widowed
SOCIAL	SOCIAL-HC02_VC39	Margin of Error; MARITAL STATUS - Widowed
SOCIAL	SOCIAL-HC03_VC39	Percent; MARITAL STATUS - Widowed
SOCIAL	SOCIAL-HC04_VC39	Percent Margin of Error; MARITAL STATUS - Widowed
SOCIAL	SOCIAL-HC01_VC40	Estimate; MARITAL STATUS - Divorced
SOCIAL	SOCIAL-HC02_VC40	Margin of Error; MARITAL STATUS - Divorced
SOCIAL	SOCIAL-HC03_VC40	Percent; MARITAL STATUS - Divorced
SOCIAL	SOCIAL-HC04_VC40	Percent Margin of Error; MARITAL STATUS - Divorced
SOCIAL	SOCIAL-HC01_VC42	Estimate; MARITAL STATUS - Females 15 years and over
SOCIAL	SOCIAL-HC02_VC42	Margin of Error; MARITAL STATUS - Females 15 years and over
SOCIAL	SOCIAL-HC03_VC42	Percent; MARITAL STATUS - Females 15 years and over
SOCIAL	SOCIAL-HC01_VC43	Estimate; MARITAL STATUS - Never married
SOCIAL	SOCIAL-HC02_VC43	Margin of Error; MARITAL STATUS - Never married
SOCIAL	SOCIAL-HC03_VC43	Percent; MARITAL STATUS - Never married
SOCIAL	SOCIAL-HC04_VC43	Percent Margin of Error; MARITAL STATUS - Never married
SOCIAL	SOCIAL-HC01_VC44	"Estimate; MARITAL STATUS - Now married, except separated"
SOCIAL	SOCIAL-HC02_VC44	"Margin of Error; MARITAL STATUS - Now married, except separated"
SOCIAL	SOCIAL-HC03_VC44	"Percent; MARITAL STATUS - Now married, except separated"
SOCIAL	SOCIAL-HC04_VC44	"Percent Margin of Error; MARITAL STATUS - Now married, except separated"
SOCIAL	SOCIAL-HC01_VC45	Estimate; MARITAL STATUS - Separated
SOCIAL	SOCIAL-HC02_VC45	Margin of Error; MARITAL STATUS - Separated
SOCIAL	SOCIAL-HC03_VC45	Percent; MARITAL STATUS - Separated
SOCIAL	SOCIAL-HC04_VC45	Percent Margin of Error; MARITAL STATUS - Separated
SOCIAL	SOCIAL-HC01_VC46	Estimate; MARITAL STATUS - Widowed
SOCIAL	SOCIAL-HC02_VC46	Margin of Error; MARITAL STATUS - Widowed
SOCIAL	SOCIAL-HC03_VC46	Percent; MARITAL STATUS - Widowed
SOCIAL	SOCIAL-HC04_VC46	Percent Margin of Error; MARITAL STATUS - Widowed
SOCIAL	SOCIAL-HC01_VC47	Estimate; MARITAL STATUS - Divorced
SOCIAL	SOCIAL-HC02_VC47	Margin of Error; MARITAL STATUS - Divorced
SOCIAL	SOCIAL-HC03_VC47	Percent; MARITAL STATUS - Divorced
